Gene_ID,Input_Reads_count_Normalized,Output_Reads_count_Normalized,P_Value,FC_IO,FC_OI
VC0833,1357,1,2.32082E-07,1418.31,0.0007
VC2628,10930,14,5.26284E-08,799.99,0.0013
VC2294,8230,13,1.7918E-15,613.8,0.0016
VC0248,4044,7,8.74196E-15,546.77,0.0018
VC0122,2919,6,3.18806E-08,509.69,0.002
VC1190,7877,17,4.97993E-10,472.44,0.0021
VCA0251,3969,9,2.80941E-07,463.74,0.0022
VC2689,14581,32,2.09464E-12,455.28,0.0022
VC2775,15468,34,1.48163E-10,452.42,0.0022
VC2192,15252,34,5.92524E-09,444.1,0.0023
VC0246,7277,16,5.75074E-10,443.86,0.0023
VC2267,16186,39,7.37394E-07,418.38,0.0024
VC0856,330,1,7.02441E-14,417.13,0.0024
VC2448,391,1,0.000683751,414.82,0.0024
VC0830,5797,14,1.71145E-08,414.07,0.0024
VC0831,3893,10,6.67877E-14,396.49,0.0025
VC2293,10028,26,1.26144E-11,386.66,0.0026
VC1021,13954,36,9.77269E-13,382.59,0.0026
VC0839,8750,23,3.71218E-08,376.83,0.0027
VC1496,5317,15,9.03056E-12,351.17,0.0028
VCA0851,10493,32,1.64712E-12,327.96,0.003
VC2026,3765,12,1.70165E-06,315.41,0.0032
VC2614,1376,5,2.05505E-06,305.44,0.0033
VC2436,10485,35,2.25428E-13,296.81,0.0034
VC0237,2687,9,2.49827E-13,291.64,0.0034
VC2414,16919,59,2.72655E-13,286.94,0.0035
VC2067,15945,56,1.38252E-08,283.82,0.0035
VC1726,3743,13,6.59354E-09,282.32,0.0035
VCA0748,19169,68,9.19381E-11,281.43,0.0036
VC0083,1045,4,4.0586E-13,280.09,0.0036
VC1895,5171,19,1.51004E-11,276.65,0.0036
VC0829,5694,21,8.54725E-08,270.59,0.0037
VC2726,13316,50,3.23695E-13,265.91,0.0038
VC2390,10750,42,6.2304E-13,258.05,0.0039
VC0395,3916,15,6.28114E-13,253.7,0.0039
VC1904,3102,12,4.01566E-13,252.69,0.004
VC0260,10207,41,5.89824E-13,250.42,0.004
VC0347,11861,48,5.17246E-13,245.79,0.0041
VC1819,18138,76,3.87255E-08,238.72,0.0042
VC0242,9576,41,2.07394E-15,236.05,0.0042
VC0275,29210,126,8.23235E-13,232.45,0.0043
VC1205,15963,70,1.72828E-12,226.66,0.0044
VC0211,17726,79,1.88841E-12,225.7,0.0044
VC0593,8229,37,1.04135E-13,224.46,0.0045
VC0052,19873,89,9.4003E-13,224.1,0.0045
VC0276,28927,130,1.19864E-12,223.2,0.0045
VC0566,23954,110,1.44244E-12,217.3,0.0046
VC0626,5776,27,1.29764E-12,215.2,0.0046
VC0223,21216,99,1.25479E-12,213.88,0.0047
VC0034,15097,71,9.23031E-13,213.77,0.0047
VC2412,1620,8,6.52738E-14,212.73,0.0047
VC2734,4026,19,3.52369E-10,209.56,0.0048
VC1002,9725,48,2.9111E-14,200.78,0.005
VC1981,8855,45,1.51165E-12,195.36,0.0051
VC0251,5540,29,5.93155E-13,189.7,0.0053
VCA0328,10658,57,1.48093E-14,188.03,0.0053
VCA0132,5087,27,5.43468E-13,187.45,0.0053
VC0576,4969,27,9.8705E-15,185.6,0.0054
VC0835,9387,54,8.52241E-14,173.93,0.0057
VC1918,6778,39,1.11805E-08,172.42,0.0058
VC0249,4244,25,3.26149E-14,170.91,0.0059
VC1218,127,1,2.96832E-12,168.25,0.0059
VC1495,5424,34,4.44786E-10,161.22,0.0062
VC0487,7986,50,6.66892E-10,159.69,0.0063
VC0239,16220,102,3.47287E-05,158.55,0.0063
VC0244,5374,34,1.07462E-14,157.5,0.0063
VCA0925,16856,108,6.2668E-12,155.51,0.0064
VC2045,7820,51,4.93765E-12,154.02,0.0065
VCA0075,7722,51,1.70721E-13,149.99,0.0067
VC1301,10395,69,2.04724E-13,149.98,0.0067
VC2226,15031,101,1.49008E-10,149.23,0.0067
VC1003,12921,92,5.22132E-12,140.21,0.0071
VC0263,3842,28,4.7019E-17,139.29,0.0072
VC0485,10102,74,1.78997E-11,137.14,0.0073
VC2419,5681,42,1.68947E-11,136.07,0.0073
VC1359,4551,34,6.50968E-11,134.3,0.0074
VC0259,11931,97,1.27565E-10,122.73,0.0081
VCA0040,10495,87,1.04611E-12,120.44,0.0083
VC2389,20004,175,3.16596E-11,114.23,0.0088
VC2710,33071,294,1.13126E-08,112.49,0.0089
VC1201,11747,105,2.20537E-10,111.9,0.0089
VCA0291,3204,29,3.40807E-07,111.2,0.009
VC0763,12056,112,1.98031E-11,107.77,0.0093
VC2234,14311,138,1.05995E-14,103.88,0.0096
VCA0903,15971,154,1.48423E-09,103.53,0.0097
VC1698,17001,164,2.53219E-12,103.49,0.0097
VC1914,12595,122,1.96981E-12,103.17,0.0097
VC0869,25316,247,1.46688E-11,102.5,0.0098
VC1574,10051,103,2.28643E-10,97.39,0.0103
VC2541,2099,23,5.83435E-11,91.37,0.0109
VC2413,25892,287,8.83224E-10,90.37,0.0111
VC1149,890,10,3.27058E-10,86.47,0.0116
VC2052,3221,38,2.10393E-09,84.62,0.0118
VCA0247,7680,91,1.13709E-09,84.16,0.0119
VC0247,9419,113,1.74928E-09,83.37,0.012
VC1174,9487,116,3.41638E-09,82.1,0.0122
VCA0428,8721,108,1.19786E-09,80.92,0.0124
VC0832,5808,73,7.51167E-11,79.88,0.0125
VC1900,7331,93,2.02245E-08,78.55,0.0127
VC0167,15640,205,4.0172E-10,76.39,0.0131
VCA0124,8255,109,2.28743E-16,75.67,0.0132
VC0550,30088,408,6.57448E-12,73.68,0.0136
VCA0860,8226,113,6.39774E-11,72.97,0.0137
VC0849,17939,252,4.95844E-12,71.09,0.0141
VCA0122,14229,202,2.29027E-11,70.32,0.0142
VC0633,14345,204,1.70366E-10,70.23,0.0142
VC1816,16462,239,1.0821E-09,68.83,0.0145
VC0647,12437,182,2.71123E-15,68.22,0.0147
VC0535,2435,37,1.31968E-07,66.49,0.015
VC2520,13873,209,2.21012E-09,66.43,0.0151
VC0941,9069,137,4.69222E-09,66.23,0.0151
VC1253,10461,159,5.93008E-09,65.77,0.0152
VC1025,20765,318,6.45995E-10,65.29,0.0153
VC0252,9473,145,3.78012E-09,65.12,0.0154
VC0250,10545,164,9.3522E-09,64.12,0.0156
VC1487,4898,84,6.75581E-07,58.61,0.0171
VC0224,25855,446,2.4121E-07,57.99,0.0172
VC1270,19889,345,2.81351E-10,57.65,0.0173
VCA0419,8381,145,1.20792E-08,57.62,0.0174
VC0745,10047,178,1.08988E-09,56.3,0.0178
VC2724,8048,144,9.58289E-11,56.02,0.0179
VC1080,15029,270,3.82155E-08,55.75,0.0179
VC1127,13949,251,1.76343E-08,55.58,0.018
VC1763,4812,88,4.83843E-11,54.9,0.0182
VC1004,16495,303,3.83801E-13,54.38,0.0184
VC1354,4895,92,5.51431E-09,52.99,0.0189
VC0003,21642,412,1.99951E-08,52.55,0.019
VC2731,2142,43,2.8667E-09,50.32,0.0199
VC0297,20065,405,1.47885E-08,49.6,0.0202
VC2320,2048,42,2.58982E-08,49.3,0.0203
VC2732,7747,158,1.73789E-08,48.98,0.0204
VC2655,9119,190,1.90105E-14,48.11,0.0208
VC1064,10931,228,3.35383E-11,47.99,0.0208
VC1706,10660,224,2.23304E-09,47.54,0.021
VC2051,6043,133,4.84512E-07,45.58,0.0219
VC1336,20855,461,1.18547E-11,45.22,0.0221
VC1730,3362,79,5.949E-07,42.59,0.0235
VCA0013,14553,347,2.22092E-09,41.91,0.0239
VC0056,13467,323,1.43023E-08,41.7,0.024
VC1942,18497,452,2.51558E-07,40.93,0.0244
VC1181,1062,26,4.22714E-10,40.2,0.0249
VC0219,10952,273,6.80403E-07,40.08,0.0249
VC0943,2669,67,9.98485E-09,39.82,0.0251
VC1716,10488,266,3.68132E-09,39.36,0.0254
VC0374,15782,402,2.28373E-11,39.22,0.0255
VC0727,10109,263,4.22998E-06,38.42,0.026
VC1596,11692,308,3.12524E-12,37.92,0.0264
VC0092,23279,615,3.95605E-07,37.83,0.0264
VC0094,2236,60,4.05826E-10,37.25,0.0268
VC2415,17376,479,6.98446E-09,36.31,0.0275
VC2307,8346,232,1.07812E-14,35.93,0.0278
VC0666,40392,1130,5.32446E-10,35.73,0.028
VC1708,14669,418,4.86136E-08,35.13,0.0285
VCA0165,10121,290,2.01979E-11,34.88,0.0287
VC2635,13578,395,2.71897E-10,34.37,0.0291
VC1761,27,1,5.66657E-07,33.92,0.0295
VC0965,14776,436,1.00328E-07,33.9,0.0295
VC2529,5304,159,3.1811E-09,33.43,0.0299
VC1921,13506,425,3.41621E-07,31.79,0.0315
VC0126,12040,381,5.59055E-10,31.56,0.0317
VCA0440,8991,292,1.71266E-08,30.77,0.0325
VC1350,13489,445,5.55689E-09,30.34,0.033
VC2510,8938,302,3.1229E-07,29.59,0.0338
VC2730,2819,96,9.88339E-07,29.36,0.0341
VC1491,25002,869,6.93537E-06,28.78,0.0348
VCA0379,8833,310,2.87337E-11,28.52,0.0351
VCA0666,7481,265,2.69534E-07,28.22,0.0354
VC1768,12041,427,0.00160376,28.18,0.0355
VC0814,266,10,3.77788E-08,27.11,0.0369
VC2262,12529,473,4.94258E-08,26.49,0.0378
VCA0487,4402,167,3.44276E-09,26.29,0.038
VCA0152,10449,405,5.63567E-08,25.83,0.0387
VCA0248,13859,537,6.38296E-08,25.81,0.0387
VCA0724,19375,753,5.95708E-08,25.73,0.0389
VCA0700,14973,589,4.00576E-13,25.44,0.0393
VC1237,15345,607,7.13833E-10,25.3,0.0395
VCA0610,11156,445,1.84439E-09,25.06,0.0399
VC0441,16572,680,1.1116E-08,24.38,0.041
VCA0836,16415,686,3.34228E-13,23.93,0.0418
VC0604,9166,386,5.56825E-08,23.73,0.0421
VCA0020,15675,668,8.22668E-13,23.47,0.0426
VC0345,18011,781,1.60188E-07,23.06,0.0434
VC1373,15807,700,2.73524E-08,22.57,0.0443
VC2736,20432,933,9.02124E-08,21.9,0.0457
VC1685,13071,621,1.25503E-08,21.06,0.0475
VC2746,15177,731,5.15749E-08,20.76,0.0482
VC2105,12191,598,2.41855E-09,20.39,0.049
