name,log2_rpos
VC0010,2.26
VC0018,3.02
VC0022,2.06
VC0034,1.12
VC0046,1.13
VC0050,1.15
VC0076,-1.16
VC0079,-1.52
VC0089,-1.51
VC0098,-1.04
VC0100,1.41
VC0132,1.04
VC0139,-1.64
VC0163,1.12
VC0178,1.17
VC0188,1.67
VC0192,1.17
VC0199,1.02
VC0200,1.94
VC0209,1.14
VC0247,-1.09
VC0249,-1.38
VC0258,-1.45
VC0259,-1.24
VC0282,1.35
VC0289,1.13
VC0299,-1.54
VC0314,-1.92
VC0326,-1.51
VC0327,-1.86
VC0328,-1.04
VC0359,-1.42
VC0366,-1.44
VC0368,-1.17
VC0369,-1.23
VC0384,1.18
VC0385,1.03
VC0391,1.19
VC0403,-1.07
VC0405,-1.11
VC0407,-1.03
VC0410,-1.09
VC0430,1.62
VC0451,1.01
VC0469,1.03
VC0470,1.29
VC0476,1.35
VC0483,1.52
VC0486,1.03
VC0534,-2.16
VC0556,1.28
VC0557,1.46
VC0562,-1.4
VC0583,-3.19
VC0608,1.15
VC0678,1.14
VC0679,-1.1
VC0687,1.06
VC0697,-1.66
VC0700,1.23
VC0706,1.88
VC0713,-2.29
VC0714,1.01
VC0715,1.24
VC0728,-1.44
VC0734,2.01
VC0736,2.24
VC0737,-2.5
VC0748,1.32
VC0751,1.06
VC0752,1.04
VC0784,1.35
VC0786,1.67
VC0787,1.41
VC0826,2.54
VC0827,2.61
VC0847,1.59
VC0860,1.05
VC0878,1.62
VC0900,1.28
VC0905,1.18
VC0916,1.71
VC0917,1.47
VC0918,1.05
VC0928,1.46
VC0930,2.68
VC0932,1.73
VC0934,1.98
VC0935,2.6
VC0957,-1.24
VC0968,2.73
VC0977,1.2
VC0980,1.14
VC1021,1.31
VC1031,-1.18
VC1043,-1.56
VC1048,1.02
VC1050,-1
VC1063,1.21
VC1075,1.25
VC1080,-1.71
VC1081,-1.6
VC1082,-1.84
VC1083,-2.34
VC1084,-2.06
VC1085,-2.12
VC1086,-1.86
VC1087,-1.29
VC1092,1.1
VC1099,1.37
VC1101,2.12
VC1111,2.16
VC1116,1.47
VC1117,1.77
VC1124,-1.06
VC1125,-1.08
VC1153,-1.07
VC1154,-1.11
VC1183,1.17
VC1189,-1.14
VC1201,1.11
VC1224,1.66
VC1235,1.03
VC1235,1.03
VC1247,-1.62
VC1248,-3.44
VC1249,-3.28
VC1268,1.57
VC1281,-1.49
VC1293,1.05
VC1315,-1.33
VC1316,-1.33
VC1325,-1.82
VC1344,2.42
VC1345,1.31
VC1362,-1.82
VC1369,-1.02
VC1370,-2.17
VC1384,-1.83
VC1394,-1.3
VC1395,-1.77
VC1397,-1.8
VC1398,-1.72
VC1399,-1.64
VC1400,-2.4
VC1401,-1.91
VC1402,-2.38
VC1403,-1.66
VC1405,-1.12
VC1406,-1.37
VC1428,1.12
VC1433,1.18
VC1434,1.34
VC1481,-1
VC1513,1.06
VC1516,1.71
VC1518,1.04
VC1519,1.29
VC1523,2.12
VC1544,-1.01
VC1545,-1.02
VC1560,-2.25
VC1602,-1.22
VC1621,1.11
VC1633,1.24
VC1643,-1.18
VC1670,1.18
VC1671,1.02
VC1706,-1.28
VC1707,-1.78
VC1710,-1.3
VC1712,1.39
VC1753,1.06
