name,log2_toxT,log2_toxR,log2_tcpPH
VC0001,1.001,1.08,0.978
VC0002,0.834,0.88,0.761
VC0003,0.915,0.847,0.819
VC0004,0.735,0.865,0.787
VC0005,0.891,1.142,1.021
VC0006,0.83,0.847,0.938
VC0007,0.965,0.817,0.92
VC0008,0.884,0.757,0.869
VC0009,0.832,0.655,0.895
VC0010,0.929,0.699,0.868
VC0011,0.935,0.569,0.856
VC0012,0.858,0.853,0.866
VC0013,0.772,0.752,0.878
VC0014,1.016,0.852,0.856
VC0015,0.798,0.921,0.786
VC0016,0.899,0.791,0.86
VC0017,0.975,0.616,0.742
VC0018,0.956,0.719,0.904
VC0019,1.179,0.864,1.189
VC0020,0.992,0.93,0.956
VC0021,1.104,0.887,0.805
VC0022,0.821,0.767,0.791
VC0023,1.098,0.702,0.651
VC0024,0.927,0.876,0.82
VC0025,0.927,0.373,0.781
VC0026,1.046,0.766,0.999
VC0027,0.93,0.448,0.816
VC0028,0.961,0.883,1.032
VC0029,1.034,0.636,0.758
VC0030,0.955,0.581,0.708
VC0031,1.062,0.582,0.848
VC0032,0.935,0.728,0.726
VC0033,1.167,0.749,0.804
VC0034,0.924,0.639,0.999
VC0035,0.989,0.667,0.69
VC0036,0.891,0.29,0.465
VC0037,1.151,0.594,0.782
VC0038,0.88,0.713,0.88
VC0039,0.926,0.673,0.802
VC0040,1.042,0.787,0.788
VC0041,1.144,0.763,0.755
VC0042,1.115,0.809,0.888
VC0043,1.11,0.89,0.85
VC0044,0.866,0.681,0.834
VC0045,1.031,0.606,0.704
VC0046,0.842,0.649,0.773
VC0047,0.868,0.55,0.687
VC0048,0.963,0.707,0.927
VC0049,0.808,0.579,0.87
VC0050,0.845,0.764,0.853
VC0051,0.952,0.862,0.858
VC0052,0.861,0.902,0.974
VC0053,1.024,0.823,0.863
VC0054,0.803,0.534,0.853
VC0055,0.939,0.77,0.782
VC0056,0.92,0.769,0.888
VC0057,0.632,0.688,0.745
VC0058,0.828,0.59,0.81
VC0059,0.716,0.63,0.927
VC0060,0.784,0.657,0.904
VC0061,0.766,0.436,0.651
VC0062,0.923,0.772,0.867
VC0063,0.919,0.609,0.765
VC0064,0.926,0.62,0.849
VC0065,1.015,0.804,0.769
VC0066,0.959,0.719,0.838
VC0067,0.88,0.739,0.776
VC0068,0.806,0.743,0.726
VC0069,0.969,0.651,0.786
VC0070,0.741,0.636,0.779
VC0071,0.925,0.72,0.669
VC0072,0.93,0.697,0.814
VC0073,0.903,0.8,0.901
VC0074,1.088,1.245,0.998
VC0075,1.087,1.065,0.958
VC0076,1.054,1.037,0.896
VC0077,0.981,0.914,0.824
VC0078,1.041,0.766,0.851
VC0079,0.936,1.04,1.078
VC0080,1.076,0.981,0.989
VC0081,1.022,1.046,1.02
VC0082,1.005,1.072,0.949
VC0083,1.003,0.979,1.029
VC0084,1.082,1.057,0.902
VC0085,0.945,1.029,0.943
VC0086,0.964,1.104,0.94
VC0087,1.098,1.141,0.98
VC0088,1.035,1.067,0.961
VC0089,1.166,1.078,0.99
VC0090,0.978,1.085,1.018
VC0091,1.093,1.069,0.945
VC0092,0.941,0.926,0.896
VC0093,1.426,1.096,1.059
VC0094,1.092,1.028,1.026
VC0095,1.286,1.058,0.982
VC0096,1.01,1.044,0.894
VC0097,1.059,1.026,0.953
VC0098,1.078,1.067,1.004
VC0099,1.034,1.022,0.995
VC0100,1.068,1.122,0.919
VC0101,1.056,1.171,0.941
VC0102,1.07,1.098,0.92
VC0103,1.085,1.055,1.016
VC0104,1.052,1.071,0.913
VC0105,0.86,0.336,0.561
VC0106,1.104,0.967,0.969
VC0107,1.029,1.037,0.902
VC0108,1.161,1.082,1.056
VC0109,1.033,1.05,0.963
VC0110,1.074,1.003,0.892
VC0111,1.061,0.94,0.89
VC0112,0.859,0.792,0.794
VC0113,1.083,1.117,1.014
VC0114,0.997,1.154,1.025
VC0115,1.081,1.087,1.025
VC0116,0.979,0.968,0.965
VC0117,1.047,0.912,0.958
VC0118,0.985,0.848,0.884
VC0119,1.059,1.089,0.916
VC0120,1.001,1.25,0.954
VC0121,1.045,0.923,1.026
VC0122,0.951,1.126,1.516
VC0123,1.014,0.946,0.901
VC0124,0.871,0.982,1.005
VC0125,1.012,0.975,1.148
VC0126,0.932,1.093,1.063
VC0127,0.933,1.067,0.987
VC0128,0.971,0.95,1.065
VC0129,0.83,1.032,0.996
VC0130,1.046,0.98,0.927
VC0131,1.064,0.947,1.064
VC0132,1.116,1.061,1.029
VC0133,0.848,0.517,0.898
VC0134,0.87,1.086,1.253
VC0135,1.075,1,0.904
VC0136,1.056,0.796,0.825
VC0137,1.007,0.86,0.862
VC0138,1.035,0.933,0.947
VC0139,1.009,0.986,1.013
VC0140,1.02,0.977,0.953
VC0141,1.096,1.209,1.008
VC0142,1.003,0.99,0.949
VC0143,1.096,1.217,1.05
VC0144,1.048,0.97,0.916
VC0145,1.044,1.045,0.938
VC0146,1.056,1.085,0.963
VC0147,1.113,1.054,1.01
VC0148,1.022,1.124,1.043
VC0149,0.978,1.102,1.048
VC0150,1.092,0.991,1.103
VC0151,1.015,0.581,0.766
