name,SW,HMM,HD,HMM_corrected
VC_0001,n/a,D,0,D
VC_0002,NE,NE,0,NE
VC_0003,NE,NE,0,NE
VC_0004,E,E,1,E
VC_0005,NE,NE,0,NE
VC_0006,D,E,1,E
VC_0007,n/a,E,1,E
VC_0008,NE,NE,0,NE
VC_0009,NE,NE,0,NE
VC_0010,NE,NE,0,NE
VC_0011,n/a,NE,0,NE
VC_0012,D,E,1,E
VC_0013,E,E,1,E
VC_0014,NE,NE,0,NE
VC_0015,D,E,1,E
VC_0016,NE,NE,0,NE
VC_0017,n/a,NE,0,NE
VC_0018,NE,NE,0,NE
VC_0019,NE,NE,0,NE
VC_0020,E,E,1,E
VC_0021,E,E,1,E
VC_0022,NE,NE,0,NE
VC_0023,NE,NE,0,NE
VC_0024,E,E,1,E
VC_0025,n/a,NE,0,NE
VC_0026,NE,NE,0,NE
VC_0027,NE,NE,0,NE
VC_0028,NE,NE,0,NE
VC_0029,NE,NE,0,NE
VC_0030,NE,NE,0,NE
VC_0031,NE,NE,0,NE
VC_0032,NE,NE,0,NE
VC_0033,NE,NE,0,NE
VC_0034,NE,NE,0,NE
VC_0035,NE,NE,0,NE
VC_0036,NE,NE,0,NE
VC_0037,NE,NE,0,NE
VC_0038,n/a,NE,0,NE
VC_0039,D,D,0,D
VC_0040,NE,NE,0,NE
VC_0041,NE,NE,0,NE
VC_0042,NE,NE,0,NE
VC_0043,E,E,1,E
VC_0044,NE,NE,0,NE
VC_0045,E,E,1,E
VC_0046,NE,NE,0,NE
VC_0047,NE,NE,0,NE
VC_0048,NE,NE,0,NE
VC_0049,NE,NE,0,NE
VC_0050,NE,NE,0,NE
VC_0051,NE,NE,0,NE
VC_0052,NE,NE,0,NE
VC_0053,n/a,NE,1,NE
VC_0054,NE,NE,0,NE
VC_0055,D,S,1,S
VC_0056,NE,NE,0,NE
VC_0057,NE,NE,0,NE
VC_0058,NE,NE,0,NE
VC_0059,n/a,S,1,S
VC_0060,NE,S,0,S
VC_0061,NE,NE,0,NE
VC_0062,NE,NE,0,NE
VC_0063,NE,NE,0,NE
VC_0064,NE,NE,0,NE
VC_0065,NE,NE,0,NE
VC_0066,NE,NE,0,NE
VC_0067,NE,NE,0,NE
VC_0068,NE,NE,0,NE
VC_0069,NE,NE,0,NE
VC_0070,NE,NE,0,NE
VC_0071,NE,NE,0,NE
VC_0072,NE,NE,0,NE
VC_0073,NE,NE,0,NE
VC_0074,NE,NE,0,NE
VC_0075,NE,NE,0,NE
VC_0076,NE,NE,0,NE
VC_0077,n/a,NE,0,NE
VC_0078,NE,NE,0,NE
VC_0079,NE,NE,0,NE
VC_0080,NE,NE,0,NE
VC_0081,NE,NE,0,NE
VC_0082,NE,NE,0,NE
VC_0083,D,E,1,E
VC_0084,D,E,1,E
VC_0085,D,E,1,E
VC_0086,NE,NE,0,NE
VC_0087,NE,NE,0,NE
VC_0088,NE,NE,0,NE
VC_0089,NE,NE,0,NE
VC_0090,NE,NE,0,NE
VC_0091,NE,NE,0,NE
VC_0092,NE,NE,0,NE
VC_0093,NE,NE,0,NE
VC_0094,D,S,0,S
VC_0095,NE,NE,0,NE
VC_0096,n/a,NE,0,NE
