vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC0001,Q9KVY7,,,,
VC0002,Q9KVY6,,,,
VC0003,Q9KVY5,TRNA MODIFICATION GTPASE MNME,78,"",""
VC0004,Q9KVY4,"INNER MEMBRANE PROTEIN ALBINO3, CHLOROPLASTIC",79,transmembrane transporter activity,GO:0022857
VC0005,Q9KVY3,MEMBRANE PROTEIN INSERTION EFFICIENCY FACTOR-RELATED,70,"",""
VC0006,Q9KVY2,RIBONUCLEASE P PROTEIN COMPONENT,32,"",""
VC0007,Q9KVY1,"39S RIBOSOMAL PROTEIN L34, MITOCHONDRIAL",113,"",""
VC0008,Q9KVY0,HISTIDINE TRANSPORT ATP-BINDING PROTEIN HISP,25,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0009,Q9KVX9,SUBFAMILY NOT NAMED,8,"",""
VC0010,Q9KVX8,L-CYSTINE-BINDING PROTEIN FLIY,18,"",""
VC0011,Q9KVX7,,,,
VC0012,Q9KVX6,CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA,38,DNA replication origin binding,GO:0003688
VC0013,Q9KVX5,BETA SLIDING CLAMP,39,"",""
VC0014,Q9KVX4,DNA REPLICATION AND REPAIR PROTEIN RECF,32,"",""
VC0015,Q9KVX3,"DNA GYRASE SUBUNIT B, MITOCHONDRIAL",87,"",""
VC0016,Q9KVX2,,,,
VC0017,Q9KVX1,,,,
VC0018,Q9KVX0,SMALL HEAT SHOCK PROTEIN IBPA,15,"",""
VC0019,Q9KVW9,VALINE--PYRUVATE AMINOTRANSFERASE,6,transferase activity,GO:0016740
VC0020,Q9KVW8,"GLYCINE--TRNA LIGASE, CHLOROPLASTIC/MITOCHONDRIAL 2",67,"",""
VC0021,Q9KVW7,,,,
VC0022,Q9KVW6,"PROTEIN PAM71, CHLOROPLASTIC",45,"",""
VC0023,Q9KVW5,,,,
VC0024,Q9KVW4,SULFUR CARRIER PROTEIN TUSA,26,"",""
VC0025,Q9KVW3,,,,
VC0026,Q9KVW2,ACRYLYL-COA REDUCTASE ACUI-RELATED,13,oxidoreductase activity,GO:0016491
VC0027,Q9KVW1,"THREONINE DEHYDRATASE, MITOCHONDRIAL",108,lyase activity,GO:0016829
VC0028,Q9KVW0,DIHYDROXY-ACID DEHYDRATASE,26,"",""
VC0029,Q9KVV9,BRANCHED-CHAIN-AMINO-ACID AMINOTRANSFERASE-LIKE PROTEIN 2,81,transferase activity,GO:0016740
VC0030,Q9KVV8,,,,
VC0031,Q9KVV7,ACETOLACTATE SYNTHASE ISOZYME 2 LARGE SUBUNIT-RELATED,10,lyase activity;oxidoreductase activity;transferase activity,GO:0016829;GO:0016491;GO:0016740
VC0032,Q9KVV6,SUBFAMILY NOT NAMED,28,"",""
VC0033,Q9KVV5,ACYLTRANSFERASE YIHG-RELATED,6,"",""
VC0034,P32557,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBA,17,"",""
VC0035,Q9KVV4,STRESS RESPONSE KINASE A,7,protein serine/threonine kinase activity,GO:0004674
VC0036,Q9KVV3,SUBFAMILY NOT NAMED,28,"",""
VC0037,Q9KVV2,,,,
VC0038,Q9KVV1,,,,
VC0039,Q9KVV0,SUBFAMILY NOT NAMED,6,"",""
VC0040,Q9KVU9,UPF0073 INNER MEMBRANE PROTEIN YQFA,47,"",""
VC0041,Q9KVU8,,,,
VC0042,Q9KVU7,SUBFAMILY NOT NAMED,3,"",""
VC0043,Q9KVU6,FAD/NAD(P)-BINDING OXIDOREDUCTASE FAMILY PROTEIN,61,"",""
VC0044,Q9KVU5,RIBOSOMAL RNA SMALL SUBUNIT METHYLTRANSFERASE B,31,"",""
VC0045,Q9KVU4,"METHIONYL-TRNA FORMYLTRANSFERASE, MITOCHONDRIAL",134,"catalytic activity, acting on RNA;transferase activity, transferring one-carbon groups",GO:0140098;GO:0016741
VC0046,Q9KVU3,PEPTIDE DEFORMYLASE,37,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",GO:0016811
VC0047,Q9KVU2,SUBFAMILY NOT NAMED,8,"",""
VC0048,Q9KVU1,PROTEIN SMF,37,"",""
VC0049,Q9KVU0,PROTEIN SMG,8,"",""
VC0050,Q9KVT9,,,,
VC0051,Q9KVT8,PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE,92,"",""
VC0052,Q9KVT7,PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE FAMILY PROTEIN / AIR CARBOXYLASE FAMILY PROTEIN,45,lyase activity,GO:0016829
VC0053,Q9KVT6,,,,
VC0054,Q9KVT5,THREONYLCARBAMOYL-AMP SYNTHASE,10,nucleotidyltransferase activity;tRNA binding,GO:0016779;GO:0000049
VC0055,Q9KVT4,"OXYGEN-DEPENDENT COPROPORPHYRINOGEN-III OXIDASE, MITOCHONDRIAL",112,"oxidoreductase activity, acting on the CH-CH group of donors",GO:0016627
VC0056,Q9KVT3,SHIKIMATE DEHYDROGENASE (NADP(+)),12,"cofactor binding;nucleotide binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0048037;GO:0000166;GO:0016616
VC0057,Q9KVT2,,,,
