gene,c6_chrom,start,end,gene_ID,Type,Synonyms
VCSEN_aTSS2263,1,64,64,"",misc_feature,""
VCSEN_ancRNA1,1,64,199,"",misc_RNA,""
VC0002,1,372,806,mioC,CDS,""
VCSEN_aTSS2265,1,378,378,"",misc_feature,""
VCSEN_ancRNA2,1,378,627,"",misc_RNA,""
VC0003,1,816,2177,mnmE,CDS,"trmE, thdF"
VCSEN_aTSS2267,1,902,902,"",misc_feature,""
VCSEN_ancRNA3,1,902,1367,"",misc_RNA,""
VCSEN_aTSS2269,1,2170,2170,"",misc_feature,""
VCSEN_ancRNA4,1,2170,2391,"",misc_RNA,""
VCSEN_aTSS1,1,2202,2202,"",misc_feature,""
VC0004,1,2271,3896,oxaA,CDS,""
VC0005,1,3899,4156,"",CDS,""
VCSEN_aTSS3,1,3960,3960,"",misc_feature,""
VC0006,1,4123,4479,rnpA,CDS,""
VCSEN_aTSS5,1,4188,4188,"",misc_feature,""
VC0007,1,4492,4629,rpmH,CDS,""
VCSEN_aTSS7,1,4726,4726,"",misc_feature,""
VCSEN_aTSS9,1,4830,4830,"",misc_feature,""
VC0008,1,4871,5608,tcyC,CDS,""
VC0009,1,5605,6276,patM,CDS,""
VCSEN_aTSS2271,1,5866,5866,"",misc_feature,""
VCSEN_ancRNA5,1,5866,6265,"",misc_RNA,""
VCSEN_aTSS11,1,6324,6324,"",misc_feature,""
VC0010,1,6354,7100,patH,CDS,""
VCSEN_aTSS13,1,7123,7123,"",misc_feature,""
VCSEN_aTSS2273,1,7128,7128,"",misc_feature,""
VCSEN_aTSS2275,1,7282,7282,"",misc_feature,""
VCSEN_aTSS2277,1,7376,7376,"",misc_feature,""
VC0012,1,7412,8815,dnaA,CDS,""
VC0013,1,8873,9973,dnaN,CDS,""
VC0014,1,9991,11082,recF,CDS,""
VC0015,1,11103,13520,gyrB,CDS,""
VCSEN_aTSS2279,1,13806,13806,"",misc_feature,""
VC0016,1,13876,14367,"",CDS,""
VC0017,1,14377,14493,"",CDS,""
VCSEN_aTSS2281,1,14609,14609,"",misc_feature,""
VC0018,1,14769,15206,ibpA,CDS,""
VC0019,1,15294,16550,avtA,CDS,""
VCSEN_aTSS15,1,16622,16622,"",misc_feature,""
VC0020,1,16869,18935,glyS,CDS,""
VC0021,1,18950,19867,glyQ,CDS,""
VCSEN_aTSS17,1,19912,19912,"",misc_feature,""
VCSEN_aTSS2283,1,20087,20087,"",misc_feature,""
VCSEN_ancRNA6,1,20173,20922,"",misc_RNA,""
VC0022,1,20283,20837,"",CDS,""
VCSEN_aTSS2285,1,20916,20916,"",misc_feature,""
VCSEN_aTSS19,1,20922,20922,"",misc_feature,""
VC0023,1,20943,21200,"",CDS,""
VC0024,1,21287,21535,tusA,CDS,""
VCSEN_aTSS21,1,21563,21563,"",misc_feature,""
VCSEN_aTSS2287,1,21642,21642,"",misc_feature,""
VC0025,1,21656,21856,"",CDS,""
VC0026,1,22028,23008,yhdH,CDS,""
VCSEN_aTSS23,1,23125,23125,"",misc_feature,""
VC0027,1,23256,24788,ilvA,CDS,""
VC0028,1,24792,26633,ilvD,CDS,""
VC0029,1,26643,27581,ilvE,CDS,""
VC0030,1,27593,27877,"",CDS,""
VC0031,1,27889,29535,ilvG,CDS,""
VCSEN_aTSS2289,1,28162,28162,"",misc_feature,""
VCSEN_ancRNA7,1,28162,29533,"",misc_RNA,""
VCSEN_aTSS25,1,29623,29623,"",misc_feature,""
VCSEN_ancRNA8,1,29720,29908,"",misc_RNA,""
VCSEN_aTSS27,1,29908,29908,"",misc_feature,""
VCSEN_aTSS2291,1,30065,30065,"",misc_feature,""
VC0032,1,30069,31592,comM,CDS,""
VCSEN_aTSS2293,1,31651,31651,"",misc_feature,""
VC0033,1,31682,32566,"",CDS,""
VC0034,1,32644,33246,dsbA,CDS,""
VC0035,1,33277,34299,rdoA,CDS,""
VCSEN_aTSS29,1,33286,33286,"",misc_feature,""
VC0036,1,34311,35735,"",CDS,""
VCSEN_aTSS2295,1,35648,35648,"",misc_feature,""
VCSEN_ancRNA9,1,35648,35794,"",misc_RNA,""
VCSEN_aTSS31,1,35842,35842,"",misc_feature,""
VCSEN_aTSS2297,1,36015,36015,"",misc_feature,""
VCSEN_ancRNA10,1,36015,36509,"",misc_RNA,""
VC0037,1,36152,36430,"",CDS,""
VCSEN_aTSS2299,1,36216,36216,"",misc_feature,""
VCSEN_ancRNA635,1,36216,36509,"",misc_RNA,""
VCSEN_aTSS33,1,36448,36448,"",misc_feature,""
VC0038,1,36527,36694,"",CDS,""
VCSEN_aTSS35,1,36820,36820,"",misc_feature,""
VCSEN_aTSS37,1,36845,36845,"",misc_feature,""
VCSEN_aTSS2301,1,36960,36960,"",misc_feature,""
VC0039,1,36979,37770,"",CDS,""
VCSEN_aTSS2303,1,37828,37828,"",misc_feature,""
VC0040,1,37848,38495,hlyIII,CDS,""
VC0041,1,38534,39091,"",CDS,""
VC0042,1,39103,40548,trkH,CDS,""
VC0043,1,40560,41936,trkA,CDS,""
VC0044,1,41998,43278,rsmB,CDS,""
VC0045,1,43334,44281,fmt,CDS,""
VC0046,1,44299,44808,def1,CDS,""
VCSEN_aTSS2305,1,44822,44822,"",misc_feature,""
VCSEN_aTSS39,1,44854,44854,"",misc_feature,""
VC0047,1,44900,46075,"",CDS,""
VC0048,1,46075,47190,smf,CDS,""
VCSEN_aTSS2307,1,47052,47052,"",misc_feature,""
VC0049,1,47193,47669,smg,CDS,""
VC0050,1,47679,48251,"",CDS,""
VC0051,1,48324,49457,purK,CDS,""
VC0052,1,49461,49946,purE,CDS,""
VCSEN_aTSS41,1,49644,49644,"",misc_feature,""
VCSEN_aTSS43,1,49990,49990,"",misc_feature,""
VCSEN_aTSS2309,1,50090,50090,"",misc_feature,""
VC0054,1,50104,50670,rimN,CDS,""
VCSEN_aTSS2311,1,50525,50525,"",misc_feature,""
VC0055,1,50689,51606,hemF,CDS,""
VCSEN_aTSS2313,1,51638,51638,"",misc_feature,""
VC0056,1,51668,52504,aroE,CDS,""
VC0057,1,52501,52776,"",CDS,""
VC0058,1,52757,53311,"",CDS,""
VCSEN_aTSS45,1,53332,53332,"",misc_feature,""
VCSEN_ancRNA11,1,53444,53624,"",misc_RNA,""
VCSEN_aTSS2315,1,53466,53466,"",misc_feature,""
VC0059,1,53497,53637,"",CDS,""
VCSEN_aTSS47,1,53624,53624,"",misc_feature,""
VCr001,1,53823,55357,16Sa,rRNA,""
VCt001,1,55421,55496,tRNA-Ala-5,tRNA,""
VCr002,1,55784,58670,23Sa,rRNA,""
VCr003,1,58798,58915,5Sa,rRNA,""
VCt002,1,58941,59017,tRNA-Asp-4,tRNA,""
VCt003,1,59047,59123,tRNA-Trp-1,tRNA,""
VCSEN_aTSS2317,1,59331,59331,"",misc_feature,""
VC0060,1,59356,59736,crcB,CDS,""
