Family	Mapped	Family_name	Genes	Molecular_function	Bio_process	Cell_component	Protein_class	Interpro
PTHR24220:SF654	VIBCH|EnsemblGenome=VC_1883|UniProtKB=P57066	LIPOPROTEIN-RELEASING SYSTEM ATP-BINDING PROTEIN LOLD	21	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR21342:SF1	VIBCH|EnsemblGenome=VC_0222|UniProtKB=Q9KVC4	PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE	35	acetyltransferase activity(GO:0016407)			acetyltransferase(PC00038)	
PTHR10196:SF69	VIBCH|EnsemblGenome=VC_A0744|UniProtKB=Q9KLJ9	ZGC:172295	146		phosphorylation(GO:0016310)	cytoplasm(GO:0005737)	carbohydrate kinase(PC00065)	
PTHR26312:SF124	VIBCH|EnsemblGenome=VC_1834|UniProtKB=Q9KR13	"TETRATRICOPEPTIDE REPEAT DOMAIN-CONTAINING PROTEIN PYG7, CHLOROPLASTIC"	55					
PTHR22960:SF0	VIBCH|EnsemblGenome=VC_1024|UniProtKB=Q9KT81	"GTP 3',8-CYCLASE"	23					
PTHR32024:SF3	VIBCH|EnsemblGenome=VC_0042|UniProtKB=Q9KVU7	SUBFAMILY NOT NAMED	3					
PTHR30005:SF0	VIBCH|EnsemblGenome=VC_0722|UniProtKB=Q9KU08	RETROGRADE REGULATION PROTEIN 2	60				phosphatase(PC00181)	
PTHR30005:SF10	VIBCH|EnsemblGenome=VC_0304|UniProtKB=Q9KV53	"GUANOSINE-5'-TRIPHOSPHATE,3'-DIPHOSPHATE PYROPHOSPHATASE"	5	pyrophosphatase activity(GO:0016462)	nucleobase-containing small molecule metabolic process(GO:0055086);phosphorus metabolic process(GO:0006793)		phosphatase(PC00181)	
PTHR42760:SF89	VIBCH|EnsemblGenome=VC_2021|UniProtKB=Q9KQH7	3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE FABG	12				dehydrogenase(PC00092);reductase(PC00198)	
PTHR30135:SF3	VIBCH|EnsemblGenome=VC_1023|UniProtKB=Q9KT82	GLUCONEOGENESIS FACTOR-RELATED	21	catalytic activity(GO:0003824)	monosaccharide metabolic process(GO:0005996)			
