Longname	Mapped	Info	Panth_fam	Pant_prot_class	Species	Molecular_function	Bio_process	Cellular_component
VIBCH|EnsemblGenome=VC_A0084|UniProtKB=Q9KN81	VC_A0084	SoxR protein;VC_A0084;ortholog	REDOX-SENSITIVE TRANSCRIPTIONAL ACTIVATOR SOXR (PTHR30204:SF0)	transcription factor(PC00218)	Vibrio cholerae	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);2 iron, 2 sulfur cluster binding(GO:0051537)	regulation of transcription, DNA-templated(GO:0006355);response to oxidative stress(GO:0006979)	
VIBCH|EnsemblGenome=VC_0675|UniProtKB=O66108	VC_0675	Thymidylate synthase;thyA;ortholog	THYMIDYLATE SYNTHASE (PTHR11548:SF9)	methyltransferase(PC00155)	Vibrio cholerae	thymidylate synthase activity(GO:0004799);methyltransferase activity(GO:0008168);transferase activity(GO:0016740)	dTMP biosynthetic process(GO:0006231);dTTP biosynthetic process(GO:0006235);nucleotide biosynthetic process(GO:0009165);2'-deoxyribonucleotide biosynthetic process(GO:0009265);methylation(GO:0032259)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0051|UniProtKB=Q9KNB4	VC_A0051	Uncharacterized protein;VC_A0051;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0097|UniProtKB=Q9KN68	VC_A0097	Uncharacterized protein;VC_A0097;ortholog			Vibrio cholerae	molecular_function(GO:0003674);hydrolase activity(GO:0016787)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0350|UniProtKB=Q9KMJ6	VC_A0350	Outer membrane lipoprotein Blc;VC_A0350;ortholog	APOLIPOPROTEIN D (PTHR10612:SF34)		Vibrio cholerae	molecular_function(GO:0003674);transporter activity(GO:0005215)	biological_process(GO:0008150)	
VIBCH|EnsemblGenome=VC_0300|UniProtKB=Q9KV57	VC_0300	Uncharacterized protein;VC_0300;ortholog	SUBFAMILY NOT NAMED (PTHR43773:SF1)		Vibrio cholerae	molecular_function(GO:0003674);[protein-PII] uridylyltransferase activity(GO:0008773);magnesium ion transmembrane transporter activity(GO:0015095)	biological_process(GO:0008150);magnesium ion transport(GO:0015693);magnesium ion transmembrane transport(GO:1903830)	cellular_component(GO:0005575);membrane(GO:0016020)
VIBCH|EnsemblGenome=VC_1336|UniProtKB=Q9KSC2	VC_1336	2-methylisocitrate lyase;prpB;ortholog	CARBOXYVINYL-CARBOXYPHOSPHONATE PHOSPHORYLMUTASE, CHLOROPLASTIC (PTHR42905:SF5)	mutase(PC00160);transferase(PC00220)	Vibrio cholerae	catalytic activity(GO:0003824);lyase activity(GO:0016829);oxo-acid-lyase activity(GO:0016833);methylisocitrate lyase activity(GO:0046421);metal ion binding(GO:0046872)	fermentation(GO:0006113);metabolic process(GO:0008152);propionate catabolic process, 2-methylcitrate cycle(GO:0019629)	
VIBCH|EnsemblGenome=VC_0829|UniProtKB=P23476	VC_0829	Toxin coregulated pilus biosynthesis protein B;tcpB;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	pilus assembly(GO:0009297);pathogenesis(GO:0009405)	
VIBCH|EnsemblGenome=VC_A0006|UniProtKB=Q9KNF8	VC_A0006	Probable transcriptional regulatory protein VC_A0006;VC_A0006;ortholog	TRANSLATIONAL ACTIVATOR OF CYTOCHROME C OXIDASE 1 (PTHR12532:SF0)		Vibrio cholerae	molecular_function(GO:0003674);DNA binding(GO:0003677)	transcription, DNA-templated(GO:0006351);regulation of transcription, DNA-templated(GO:0006355);biological_process(GO:0008150)	cellular_component(GO:0005575);cytoplasm(GO:0005737);cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_A0945|UniProtKB=Q9KL05	VC_A0945	Maltodextrin-binding protein;VC_A0945;ortholog	MALTOSE-BINDING PERIPLASMIC PROTEIN (PTHR30061:SF50)		Vibrio cholerae	carbohydrate transmembrane transporter activity(GO:0015144);maltose-transporting ATPase activity(GO:0015423)	carbohydrate transport(GO:0008643);maltose transport(GO:0015768);carbohydrate transmembrane transport(GO:0034219);transmembrane transport(GO:0055085)	
VIBCH|EnsemblGenome=VC_0232|UniProtKB=Q9KVB4	VC_0232	Uncharacterized protein;VC_0232;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0828|UniProtKB=Q60153	VC_0828	Toxin coregulated pilin;tcpA;ortholog	PREPILIN PEPTIDASE-DEPENDENT PROTEIN D (PTHR30093:SF2)		Vibrio cholerae	structural molecule activity(GO:0005198)	pathogenesis(GO:0009405);cell projection organization(GO:0030030)	pilus(GO:0009289);membrane(GO:0016020);integral component of membrane(GO:0016021);extracellular organelle(GO:0043230)
VIBCH|EnsemblGenome=VC_1410|UniProtKB=Q9KS50	VC_1410	Multidrug resistance protein VceA;VC_1410;ortholog	MULTIDRUG EXPORT PROTEIN EMRA-RELATED (PTHR30386:SF19)	transporter(PC00227)	Vibrio cholerae	drug transmembrane transporter activity(GO:0015238)	drug transmembrane transport(GO:0006855);protein secretion(GO:0009306);response to drug(GO:0042493)	membrane(GO:0016020);integral component of membrane(GO:0016021)
